Movie_Title,Year,Director,Rating,Runtime,Censor,Total_Gross,main_genre
Ray,2014,Matthew Warchus,7.8,119,R,$340.23M,Biography
Finding Neverland,2015,Adam McKay,7.8,130,A,$70.26M,Biography
Donnie Brasco,2015,F. Gary Gray,7.8,147,R,$161.20M,Biography
Shine,2019,Martin Scorsese,7.8,209,16,$7.00M,Biography
Il postino,2010,David Fincher,7.8,120,UA,$96.96M,Biography
Malcolm X,2008,Clint Eastwood,7.8,141,A,$35.74M,Biography
The Last Emperor,2007,Ridley Scott,7.8,157,A,$130.16M,Biography
Serpico,2005,Roger Donaldson,7.8,127,U,$5.13M,Biography
A Man for All Seasons,2005,James Mangold,7.8,136,U,$119.52M,Biography
Dark Waters,2004,Walter Salles,7.8,126,U,$16.76M,Adventure
The Two Popes,2000,Boaz Yakin,7.8,113,U,$115.65M,Biography
The Boy Who Harnessed the Wind,1999,Michael Mann,7.8,157,UA,$28.97M,Biography
Sanju,1999,Joe Johnston,7.8,108,PG,$32.48M,Biography
Just Mercy,1994,Tim Burton,7.8,127,U,$5.89M,Biography
Philomena,1993,"Directors:George P. Cosmatos, Kevin Jarre",7.8,130,UA,$56.51M,Biography
127 Hours,1990,Penny Marshall,7.8,121,U,$52.10M,Biography
Moneyball,1989,Edward Zwick,7.8,122,U,$26.83M,Biography
The Blind Side,1984,Roland Joffé,7.8,141,A,$34.70M,Biography
Freedom Writers,1983,Philip Kaufman,7.8,193,UA,$21.50M,Adventure
The Last King of Scotland,2014,James Marsh,7.7,123,U,$35.89M,Biography
La Vie en Rose,2013,Hayao Miyazaki,7.7,126,B,$5.21M,Animation
Sophie Scholl - Die letzten Tage,2012,Ben Affleck,7.7,120,A,$136.03M,Biography
Control,2008,Ron Howard,7.7,122,U,$18.59M,Biography
The Hurricane,2004,Taylor Hackford,7.7,152,A,$75.33M,Biography
King Richard,2004,Marc Forster,7.7,106,U,$51.68M,Biography
"tick, tick...BOOM!",1997,Mike Newell,7.7,127,A,$41.91M,Biography
83,1996,Scott Hicks,7.7,105,B,$35.81M,Biography
BlacKkKlansman,1994,"Directors:Michael Radford, Massimo Troisi",7.7,108,B,$21.85M,Biography
"I, Tonya",1992,Spike Lee,7.7,202,U,$48.17M,Biography
The Favourite,1987,Bernardo Bertolucci,7.7,163,U,$43.98M,Biography
Richard Jewell,1973,Sidney Lumet,7.7,130,A,$29.80M,Biography
Fruitvale Station,1966,Fred Zinnemann,7.7,120,U,$28.35M,Biography
Saving Mr. Banks,2019,Todd Haynes,7.6,126,PG-13,$340.23M,Biography
The Greatest Showman,2019,Fernando Meirelles,7.6,125,16,$340.23M,Biography
En kongelig affære,2019,Chiwetel Ejiofor,7.6,113,13,$340.23M,Biography
The Damned United,2018,Rajkumar Hirani,7.6,155,UA,$7.91M,Biography
Selma,2019,Destin Daniel Cretton,7.6,137,A,$340.23M,Biography
Milk,2013,Stephen Frears,7.6,98,PG-13,$37.71M,Biography
Hunger,2010,Danny Boyle,7.6,94,UA,$18.34M,Biography
42,2011,Bennett Miller,7.6,133,13,$75.61M,Biography
The Assassination of Jesse James by the Coward Robert Ford,2009,John Lee Hancock,7.6,129,UA,$255.96M,Biography
The Great Debaters,2007,Richard LaGravenese,7.6,123,UA,$36.61M,Biography
The Aviator,2006,Kevin Macdonald,7.6,123,A,$17.61M,Biography
Blow,2007,Olivier Dahan,7.6,140,PG-13,$10.30M,Biography
Boys Don't Cry,2005,Marc Rothemund,7.6,120,B,$0.68M,Biography
Quiz Show,2007,Anton Corbijn,7.6,122,R,$0.87M,Biography
Rudy,1999,Norman Jewison,7.6,146,U,$50.67M,Biography
Chaplin,2021,Reinaldo Marcus Green,7.5,144,UA,$340.23M,Biography
Henry V,2021,Lin-Manuel Miranda,7.5,120,13,$340.23M,Biography
Christiane F. - Wir Kinder vom Bahnhof Zoo,2021,Kabir Khan,7.5,162,U,$340.23M,Biography
Midnight Express,2018,Spike Lee,7.5,135,18,$49.28M,Biography
Judas and the Black Messiah,2017,Craig Gillespie,7.5,119,R,$30.01M,Biography
The Mauritanian,2018,Yorgos Lanthimos,7.5,119,18,$34.37M,Biography
Darkest Hour,2019,Clint Eastwood,7.5,131,A,$340.23M,Biography
Molly's Game,2013,Ryan Coogler,7.5,85,R,$16.10M,Biography
Elvis,2013,John Lee Hancock,7.5,125,U,$83.30M,Biography
Sully,2017,Michael Gracey,7.5,105,UA,$174.34M,Biography
Trumbo,2012,Nikolaj Arcel,7.5,137,R,$1.55M,Biography
The Good Lie,2009,Tom Hooper,7.5,98,R,$0.45M,Biography
"McFarland, USA",2014,Ava DuVernay,7.5,128,PG-13,$52.08M,Biography
Love & Mercy,2008,Gus Van Sant,7.5,128,A,$31.84M,Biography
"Good Night, and Good Luck.",2008,Steve McQueen,7.5,96,B,$0.15M,Biography
The Greatest Game Ever Played,2013,Brian Helgeland,7.5,128,PG-13,$95.00M,Biography
Miracle,2007,Andrew Dominik,7.5,160,R,$3.90M,Biography
American Splendor,2007,Denzel Washington,7.5,126,PG-13,$30.23M,Biography
Rabbit-Proof Fence,2004,Martin Scorsese,7.5,170,UA,$102.61M,Biography
Erin Brockovich,2001,Ted Demme,7.5,124,R,$52.99M,Biography
Elizabeth,1999,Kimberly Peirce,7.5,118,A,$11.53M,Biography
Man on the Moon,1994,Robert Redford,7.5,133,U,$24.82M,Biography
Gods and Monsters,1993,David Anspaugh,7.5,114,U,$22.75M,Biography
Searching for Bobby Fischer,1992,Richard Attenborough,7.5,143,PG-13,$9.49M,Biography
The King and I,1989,Kenneth Branagh,7.5,137,U,$10.16M,Biography
The King,1981,Uli Edel,7.5,138,B,$340.23M,Biography
The Banker,1978,Alan Parker,7.5,121,A,$35.00M,Biography
Official Secrets,2021,Shaka King,7.4,126,A,$340.23M,Biography
Snowden,2021,Kevin Macdonald,7.4,129,A,$340.23M,Biography
A Street Cat Named Bob,2017,Joe Wright,7.4,125,UA,$56.47M,Biography
The Disaster Artist,2017,Aaron Sorkin,7.4,140,R,$28.78M,Biography
The Walk,2022,Baz Luhrmann,7.4,159,UA,$340.23M,Biography
Woman in Gold,2016,Clint Eastwood,7.4,96,A,$125.07M,Biography
Belle,2015,Jay Roach,7.4,124,R,$7.86M,Biography
Rocketman,2014,Philippe Falardeau,7.4,110,PG-13,$2.72M,Biography
Belfast,2015,Niki Caro,7.4,129,PG,$44.47M,Biography
Beautiful Boy,2014,Bill Pohlad,7.4,121,PG-13,$12.55M,Biography
First Man,2005,George Clooney,7.4,93,PG,$31.50M,Biography
Eddie the Eagle,2005,Bill Paxton,7.4,120,U,$15.33M,Biography
Rescue Dawn,2004,Gavin O'Connor,7.4,135,U,$64.38M,Biography
Lincoln,2003,"Directors:Shari Springer Berman, Robert Pulcini",7.4,101,R,$6.00M,Biography
The Queen,2002,Phillip Noyce,7.4,94,PG,$6.17M,Biography
Coach Carter,2000,Steven Soderbergh,7.4,131,A,$125.60M,Biography
Capote,1998,Shekhar Kapur,7.4,124,R,$30.08M,Biography
Monster,1999,Milos Forman,7.4,118,R,$34.58M,Biography
24 Hour Party People,1998,Bill Condon,7.4,105,R,$6.39M,Biography
Quills,1993,Steven Zaillian,7.4,109,13,$7.27M,Biography
"Girl, Interrupted",1956,Walter Lang,7.4,133,U,$21.30M,Biography
Antwone Fisher,2019,David Michôd,7.3,140,18,$340.23M,Biography
Frida,2020,George Nolfi,7.3,120,A,$340.23M,Biography
Amistad,2019,Gavin Hood,7.3,112,A,$0.40M,Biography
The People vs. Larry Flynt,2016,Oliver Stone,7.3,134,18,$21.59M,Biography
The Basketball Diaries,2016,Roger Spottiswoode,7.3,103,B,$0.04M,Biography
Heavenly Creatures,2017,James Franco,7.3,104,UA,$21.12M,Biography
This Boy's Life,2015,Robert Zemeckis,7.3,123,UA,$10.14M,Adventure
"Good Morning, Vietnam",2015,Simon Curtis,7.3,109,B,$33.31M,Biography
Dolemite Is My Name,2013,Amma Asante,7.3,100,PG,$10.73M,Biography
The Report,2019,Dexter Fletcher,7.3,121,A,$96.37M,Biography
The Post,2021,Kenneth Branagh,7.3,98,PG-13,$340.23M,Biography
Vice,2018,Felix van Groeningen,7.3,120,R,$7.65M,Biography
The Professor and the Madman,2018,Damien Chazelle,7.3,141,UA,$44.94M,Biography
The Founder,2015,Dexter Fletcher,7.3,106,UA,$15.79M,Adventure
The End of the Tour,2006,Werner Herzog,7.3,120,PG-13,$5.49M,Adventure
Stan & Ollie,2012,Steven Spielberg,7.3,150,U,$182.21M,Biography
A Beautiful Day in the Neighborhood,2006,Stephen Frears,7.3,103,U,$56.44M,Biography
Steve Jobs,2005,Thomas Carter,7.3,136,PG-13,$67.26M,Biography
The Sessions,2005,Bennett Miller,7.3,114,UA,$28.75M,Biography
Testament of Youth,2003,Patty Jenkins,7.3,109,A,$34.47M,Biography
The Butler,2002,Michael Winterbottom,7.3,117,R,$1.13M,Biography
Conviction,2000,Philip Kaufman,7.3,124,B,$7.06M,Biography
Lawless,1999,James Mangold,7.3,127,UA,$28.87M,Biography
Secretariat,2002,Denzel Washington,7.3,120,PG-13,$21.08M,Biography
The Young Victoria,2002,Julie Taymor,7.3,123,UA,$25.89M,Biography
Che: Part One,1997,Steven Spielberg,7.3,155,A,$44.18M,Biography
An American Crime,1996,Milos Forman,7.3,130,A,$20.19M,Biography
The Man Who Knew Infinity,1995,Scott Kalvert,7.3,102,UA,$2.42M,Biography
Glory Road,1994,Peter Jackson,7.3,99,UA,$3.05M,Biography
Before Night Falls,1993,Michael Caton-Jones,7.3,115,U,$4.10M,Biography
Men of Honor,1987,Barry Levinson,7.3,121,UA,$123.92M,Biography
The Doors,2019,Craig Brewer,7.2,118,R,$340.23M,Biography
Born on the Fourth of July,2019,Scott Z. Burns,7.2,119,R,$340.23M,Biography
Mask,2017,Steven Spielberg,7.2,116,UA,$81.90M,Biography
Bad Education,2018,Adam McKay,7.2,132,R,$47.84M,Biography
Fighting with My Family,2019,Farhad Safinia,7.2,124,B,$340.23M,Biography
On the Basis of Sex,2017,Michael Noer,7.2,133,A,$2.34M,Adventure
Can You Ever Forgive Me?,2016,John Lee Hancock,7.2,115,B,$12.79M,Biography
Miracles from Heaven,2015,James Ponsoldt,7.2,106,R,$2.99M,Biography
The Dig,2018,Jon S. Baird,7.2,98,PG,$5.47M,Biography
Race,2019,Marielle Heller,7.2,109,UA,$61.70M,Biography
Concussion,2015,Danny Boyle,7.2,122,A,$17.77M,Biography
The Glass Castle,2012,Ben Lewin,7.2,95,R,$6.00M,Biography
Wild,2014,James Kent,7.2,129,PG-13,$1.82M,Biography
Mandela: Long Walk to Freedom,2013,Lee Daniels,7.2,132,A,$116.63M,Biography
Tracks,2010,Tony Goldwyn,7.2,107,R,$6.78M,Biography
The Railway Man,2012,John Hillcoat,7.2,116,R,$37.40M,Biography
War Dogs,2010,Randall Wallace,7.2,123,PG,$59.71M,Biography
Goodbye Christopher Robin,2009,Jean-Marc Vallée,7.2,105,PG,$11.00M,Biography
Chasing Mavericks,2008,Steven Soderbergh,7.2,134,B,$1.73M,Biography
The Devil's Double,2007,Tommy O'Haver,7.2,98,R,$340.23M,Biography
Nowhere Boy,2015,Matt Brown,7.2,108,U,$3.87M,Biography
Agora,2006,James Gartner,7.2,118,U,$42.64M,Biography
The Whistleblower,2000,Julian Schnabel,7.2,133,R,$4.22M,Biography
The Danish Girl,2000,George Tillman Jr.,7.2,129,UA,$48.82M,Biography
Kinsey,1991,Oliver Stone,7.2,140,U,$35.18M,Biography
Lords of Dogtown,1989,Oliver Stone,7.2,145,A,$70.00M,Biography
Chopper,1985,Peter Bogdanovich,7.2,120,UA,$48.23M,Biography
Seven Years in Tibet,2019,Cory Finley,7.1,108,B,$340.23M,Biography
Michael Collins,2019,Stephen Merchant,7.1,108,A,$22.96M,Biography
Nixon,2018,Mimi Leder,7.1,120,UA 13+,$24.62M,Biography
Alive,2018,Marielle Heller,7.1,106,A,$8.80M,Biography
Out of Africa,2016,Patricia Riggen,7.1,109,PG,$61.71M,Biography
Chariots of Fire,2021,Simon Stone,7.1,112,16,$340.23M,Biography
American Animals,2016,Stephen Hopkins,7.1,134,UA,$19.10M,Biography
Professor Marston and the Wonder Women,2015,Peter Landesman,7.1,123,PG-13,$34.54M,Biography
Loving,2017,Destin Daniel Cretton,7.1,127,PG-13,$17.27M,Biography
Colonia,2014,Jean-Marc Vallée,7.1,115,18,$37.88M,Adventure
Danny Collins,2013,Justin Chadwick,7.1,141,UA,$8.32M,Biography
The Zookeeper's Wife,2013,John Curran,7.1,112,PG-13,$0.51M,Adventure
Million Dollar Arm,2013,Jonathan Teplitzky,7.1,116,R,$4.44M,Biography
Soul Surfer,2016,Todd Phillips,7.1,114,A,$43.03M,Biography
Pawn Sacrifice,2017,Simon Curtis,7.1,107,UA,$1.74M,Biography
Kill the Irishman,2012,"Directors:Michael Apted, Curtis Hanson",7.1,116,UA,$6.00M,Biography
The Infiltrator,2011,Lee Tamahori,7.1,109,R,$1.36M,Biography
Behind the Candelabra,2009,Sam Taylor-Johnson,7.1,98,R,$1.45M,Biography
Julie & Julia,2009,Alejandro Amenábar,7.1,127,R,$0.62M,Adventure
Big Eyes,2010,Larysa Kondracki,7.1,112,A,$1.12M,Biography
Foxcatcher,2015,Tom Hooper,7.1,119,A,$11.11M,Biography
Gangubai Kathiawadi,2004,Bill Condon,7.1,118,R,$10.21M,Biography
The Dirt,2005,Catherine Hardwicke,7.1,107,PG-13,$11.01M,Biography
Miss Potter,2000,Andrew Dominik,7.1,94,A,$0.23M,Biography
Charlie Wilson's War,1997,Jean-Jacques Annaud,7.1,136,U,$37.96M,Adventure
Invincible,1996,Neil Jordan,7.1,133,UA,$11.09M,Biography
Gridiron Gang,1995,Oliver Stone,7.1,192,R,$13.56M,Biography
Find Me Guilty,1993,Frank Marshall,7.1,120,U,$36.73M,Biography
Jarhead,1985,Sydney Pollack,7.1,161,U,$87.10M,Biography
Becoming Jane,1981,Hugh Hudson,7.1,125,U,$58.97M,Biography
Breach,2018,Bart Layton,7,116,R,$2.86M,Biography
Bobby,2017,Angela Robinson,7,108,R,$1.59M,Biography
Confessions of a Dangerous Mind,2016,Jeff Nichols,7,123,PG-13,$7.70M,Biography
Pollock,2015,Florian Gallenberger,7,110,R,$340.23M,Biography
Kundun,2015,Dan Fogelman,7,106,R,$5.35M,Biography
Henry: Portrait of a Serial Killer,2017,Niki Caro,7,127,A,$17.45M,Biography
Gorillas in the Mist: The Story of Dian Fossey,2014,Craig Gillespie,7,124,PG,$36.45M,Biography
Sid and Nancy,2011,Sean McNamara,7,112,PG,$43.85M,Biography
Cleopatra,2014,Edward Zwick,7,115,UA,$2.44M,Biography
Boy Erased,2011,Jonathan Hensleigh,7,106,R,$1.19M,Biography
At Eternity's Gate,2016,Brad Furman,7,127,R,$15.43M,Biography
Borg McEnroe,2013,Steven Soderbergh,7,118,B,$340.23M,Biography
Stronger,2009,Nora Ephron,7,123,UA,$94.13M,Biography
Legend,2014,Tim Burton,7,106,U,$14.48M,Biography
The Highwaymen,2014,Bennett Miller,7,134,R,$12.10M,Biography
My Week with Marilyn,2022,Sanjay Leela Bhansali,7,152,UA,$340.23M,Biography
Black Mass,2019,Jeff Tremaine,7,107,B,$340.23M,Biography
Kill the Messenger,2006,Chris Noonan,7,88,PG,$2.98M,Biography
The Duchess,2007,Mike Nichols,7,102,UA,$66.66M,Biography
Bright Star,2006,Ericson Core,7,105,PG,$57.79M,Biography
Goya's Ghosts,2006,Phil Joanou,7,125,PG-13,$38.43M,Biography
Alpha Dog,2006,Sidney Lumet,7,125,R,$1.17M,Biography
The Assassination of Richard Nixon,2005,Sam Mendes,7,125,R,$62.66M,Biography
Girl with a Pearl Earring,2007,Julian Jarrold,7,120,PG,$18.67M,Biography
Radio,2007,Billy Ray,7,110,PG-13,$33.23M,Biography
Bully,2006,Emilio Estevez,7,117,R,$11.24M,Biography
Private Parts,2002,George Clooney,7,113,R,$16.00M,Biography
Rob Roy,2000,Ed Harris,7,122,R,$8.60M,Biography
La Bamba,1997,Martin Scorsese,7,134,PG-13,$5.53M,Biography
Judy,1986,John McNaughton,7,83,A,$0.61M,Biography
Munich: The Edge of War,1988,Michael Apted,7,129,U,$24.72M,Biography
Bombshell,1986,Alex Cox,7,112,B,$2.83M,Biography
"Don't Worry, He Won't Get Far on Foot",1963,Joseph L. Mankiewicz,7,192,A,$57.78M,Biography
Victoria & Abdul,2018,Joel Edgerton,6.9,115,Unrated,$6.79M,Biography
Escape from Pretoria,2018,Julian Schnabel,6.9,111,PG-13,$2.29M,Biography
All the Money in the World,2017,Janus Metz,6.9,107,UA,$14.11M,Biography
Florence Foster Jenkins,2017,David Gordon Green,6.9,119,R,$4.21M,Biography
Tolkien,2015,Brian Helgeland,6.9,132,A,$1.87M,Biography
Mr. Turner,2019,John Lee Hancock,6.9,132,16,$340.23M,Biography
The 33,2011,Simon Curtis,6.9,99,R,$14.60M,Biography
Jersey Boys,2015,Scott Cooper,6.9,123,A,$62.58M,Biography
Bernie,2014,Michael Cuesta,6.9,112,A,$2.45M,Biography
Bleed for This,2008,Saul Dibb,6.9,110,PG-13,$13.82M,Biography
The Iceman,2009,Jane Campion,6.9,119,PG,$4.44M,Biography
Mank,2006,Milos Forman,6.9,113,R,$1.00M,Biography
Fair Game,2006,Nick Cassavetes,6.9,122,R,$15.23M,Biography
Hitchcock,2004,Niels Mueller,6.9,95,R,$0.70M,Biography
The Stanford Prison Experiment,2003,Peter Webber,6.9,100,U,$11.63M,Biography
Elizabeth: The Golden Age,2003,Michael Tollin,6.9,109,PG,$52.28M,Biography
Che: Part Two,2001,Larry Clark,6.9,108,R,$1.54M,Biography
I'm Not There,1997,Betty Thomas,6.9,109,R,$41.20M,Biography
Patch Adams,1995,Michael Caton-Jones,6.9,139,R,$31.60M,Adventure
Selena,1987,Luis Valdez,6.9,108,U,$54.22M,Biography
Bugsy,2019,Rupert Goold,6.8,118,UA,$340.23M,Biography
Battle of the Sexes,2021,Christian Schwochow,6.8,130,13,$340.23M,Biography
The Lady in the Van,2019,Jay Roach,6.8,109,A,$340.23M,Biography
The Old Man & the Gun,2018,Gus Van Sant,6.8,114,R,$1.44M,Biography
"Extremely Wicked, Shockingly Evil and Vile",2017,Stephen Frears,6.8,111,UA,$22.25M,Biography
Jackie,2020,Francis Annan,6.8,106,PG-13,$340.23M,Biography
Hysteria,2017,Ridley Scott,6.8,132,UA,$25.11M,Biography
Taking Woodstock,2016,Stephen Frears,6.8,111,U,$27.37M,Biography
Coco avant Chanel,2019,Dome Karukoski,6.8,112,PG-13,$4.54M,Biography
The Soloist,2014,Mike Leigh,6.8,150,R,$3.96M,Biography
The Other Boleyn Girl,2015,Patricia Riggen,6.8,127,UA,$12.19M,Biography
The New World,2014,Clint Eastwood,6.8,134,R,$47.03M,Biography
Ali,2011,Richard Linklater,6.8,99,PG-13,$9.20M,Biography
The Eyes of Tammy Faye,2016,Ben Younger,6.8,117,R,$4.85M,Biography
Operation Finale,2012,Ariel Vromen,6.8,106,A,$1.94M,Biography
Whiskey Tango Foxtrot,2020,David Fincher,6.8,131,16,$340.23M,Biography
Joy,2010,Doug Liman,6.8,108,(Banned),$9.53M,Biography
Spencer,2012,Sacha Gervasi,6.8,98,UA,$6.01M,Biography
The Lost City of Z,2015,Kyle Patrick Alvarez,6.8,122,R,$0.64M,Biography
House of Gucci,2007,Shekhar Kapur,6.8,114,PG-13,$16.29M,Biography
I Love You Phillip Morris,2008,Steven Soderbergh,6.8,135,B,$340.23M,Biography
A Mighty Heart,2007,Todd Haynes,6.8,135,R,$4.02M,Biography
Notorious,1998,Tom Shadyac,6.8,115,U,$135.03M,Biography
Being the Ricardos,1997,Gregory Nava,6.8,127,UA,$35.42M,Biography
Imperium,1991,Barry Levinson,6.8,136,R,$49.11M,Biography
The Current War,2017,"Directors:Jonathan Dayton, Valerie Faris",6.7,121,UA,$12.64M,Biography
J. Edgar,2015,Nicholas Hytner,6.7,104,PG-13,$10.02M,Biography
The Informant!,2018,David Lowery,6.7,93,UA,$11.28M,Biography
The Runaways,2019,Joe Berlinger,6.7,110,R,$340.23M,Biography
Hollywoodland,2016,Pablo Larraín,6.7,100,UA,$13.96M,Biography
Marie Antoinette,2011,Tanya Wexler,6.7,100,R,$1.80M,Biography
Riding in Cars with Boys,2009,Ang Lee,6.7,120,A,$7.44M,Biography
Dangerous Minds,2009,Anne Fontaine,6.7,105,PG-13,$6.11M,Biography
Fire in the Sky,2009,Joe Wright,6.7,117,PG-13,$31.67M,Biography
A Dangerous Method,2008,Justin Chadwick,6.7,115,A,$26.81M,Biography
Kill Your Darlings,2005,Terrence Malick,6.7,135,PG-13,$12.71M,Biography
The Iron Lady,2001,Michael Mann,6.7,157,UA,$58.20M,Biography
How to Lose Friends & Alienate People,2021,Michael Showalter,6.6,126,UA 16+,$340.23M,Biography
Joan of Arc,2018,Chris Weitz,6.6,122,PG-13,$17.61M,Biography
1492: Conquest of Paradise,2016,"Directors:Glenn Ficarra, John Requa",6.6,112,R,$23.05M,Biography
Mary Queen of Scots,2015,David O. Russell,6.6,124,U,$56.45M,Biography
True Story,2021,Pablo Larraín,6.6,117,UA,$340.23M,Biography
A Walk in the Woods,2016,James Gray,6.6,141,UA,$8.58M,Adventure
W.,2021,Ridley Scott,6.6,158,A,$340.23M,Biography
Evita,2009,"Directors:Glenn Ficarra, John Requa",6.6,102,R,$2.04M,Biography
The Fifth Estate,2007,Michael Winterbottom,6.6,108,A,$9.18M,Biography
Lovelace,2009,George Tillman Jr.,6.6,122,R,$36.84M,Biography
The Libertine,2021,Aaron Sorkin,6.5,131,UA 13+,$340.23M,Biography
Jobs,2016,Daniel Ragussis,6.5,109,R,$340.23M,Biography
Thalaivi,2017,Alfonso Gomez-Rejon,6.5,108,U,$340.23M,Biography
Masterminds,2011,Clint Eastwood,6.5,137,A,$37.31M,Biography
Heaven Is for Real,2009,Steven Soderbergh,6.5,108,R,$33.31M,Biography
Eat Pray Love,2010,Floria Sigismondi,6.5,106,R,$3.57M,Biography
The Bling Ring,2006,Allen Coulter,6.5,126,R,$14.42M,Biography
Blonde,2006,Sofia Coppola,6.5,123,PG-13,$15.96M,Biography
Get Rich or Die Tryin',2001,Penny Marshall,6.5,132,PG-13,$30.17M,Biography
Chhapaak,1995,John N. Smith,6.5,99,U,$84.92M,Biography
The 15:17 to Paris,1993,Robert Lieberman,6.5,109,PG-13,$20.10M,Biography
Reis,2011,David Cronenberg,6.4,99,R,$5.70M,Biography
Sen to Chihiro no kamikakushi,2013,John Krokidas,6.4,104,R,$1.03M,Biography
The Lion King,2011,Phyllida Lloyd,6.4,105,U,$30.02M,Biography
Hotaru no haka,2008,Robert B. Weide,6.4,110,R,$2.78M,Biography
Kimi no na wa.,1999,Luc Besson,6.4,158,A,$14.28M,Adventure
Coco,1992,Ridley Scott,6.4,154,PG-13,$7.19M,Adventure
WALL·E,2018,Josie Rourke,6.3,124,A,$16.47M,Biography
Up,2015,Rupert Goold,6.3,99,R,$4.72M,Biography
Toy Story 3,2015,Ken Kwapis,6.3,104,R,$29.47M,Adventure
Toy Story,2008,Oliver Stone,6.3,129,UA,$25.53M,Biography
Inside Out,1996,Alan Parker,6.3,135,U,$50.05M,Biography
Hauru no ugoku shiro,2013,Bill Condon,6.2,128,UA,$3.25M,Biography
Finding Nemo,2013,"Directors:Rob Epstein, Jeffrey Friedman",6.2,93,B,$0.36M,Biography
Koe no katachi,2004,Laurence Dunmore,6.2,114,UA,$4.84M,Biography
Klaus,2013,Joshua Michael Stern,6,128,UA,$16.13M,Biography
_kami kodomo no Ame to Yuki,2021,A.L. Vijay,5.9,153,U,$340.23M,Biography
Mary and Max.,2016,Jared Hess,5.8,95,16,$17.36M,Biography
Ratatouille,2014,Randall Wallace,5.8,99,UA,$91.44M,Biography
"Monsters, Inc.",2010,Ryan Murphy,5.8,133,UA,$80.57M,Biography
Tonari no Totoro,2013,Sofia Coppola,5.6,90,R,$5.84M,Biography
WolfWalkers,2022,Andrew Dominik,5.5,167,A,$340.23M,Biography
Soul,2005,Jim Sheridan,5.4,117,R,$30.98M,Biography
Zootopia,2020,Meghna Gulzar,5.3,120,UA,$340.23M,Biography
Kaguya-hime no Monogatari,2018,Clint Eastwood,5.3,94,A,$36.25M,Biography
Song of the Sea,2017,Hüdaverdi Yavuz,1,108,B,$340.23M,Biography
Pâfekuto burû,2001,Hayao Miyazaki,8.6,125,U,$10.06M,Animation
Aladdin,1994,"Directors:Roger Allers, Rob Minkoff",8.5,88,U,$422.78M,Animation
Beauty and the Beast,1988,Isao Takahata,8.5,89,U,$340.23M,Animation
Tenkû no shiro Rapyuta,2016,Makoto Shinkai,8.4,106,U,$5.02M,Animation
Kaze no tani no Naushika,2017,"Directors:Lee Unkrich, Adrian Molina",8.4,105,U,$209.73M,Animation
Fantastic Mr. Fox,2008,Andrew Stanton,8.4,98,U,$223.81M,Animation
Shrek,2009,"Directors:Pete Docter, Bob Peterson",8.3,96,U,$293.00M,Animation
Toy Story 2,2010,Lee Unkrich,8.3,103,U,$415.00M,Animation
Mimi wo sumaseba,1995,John Lasseter,8.3,81,U,$191.80M,Animation
The Nightmare Before Christmas,2015,"Directors:Pete Docter, Ronnie Del Carmen",8.2,95,U,$356.46M,Animation
Isle of Dogs,2004,Hayao Miyazaki,8.2,119,U,$4.71M,Animation
Tôkyô goddofâzâzu,2003,"Directors:Andrew Stanton, Lee Unkrich",8.2,100,U,$380.84M,Animation
Sennen joyû,2016,Naoko Yamada,8.1,130,16,$340.23M,Animation
Majo no takkyûbin,2019,"Directors:Sergio Pablos, Carlos Martínez López",8.1,96,7,$340.23M,Animation
The Breadwinner,2012,Mamoru Hosoda,8.1,117,U,$340.23M,Animation
Omoide no Marnie,2009,Adam Elliot,8.1,92,B,$340.23M,Animation
Ma vie de Courgette,2007,"Directors:Brad Bird, Jan Pinkava",8.1,111,U,$206.45M,Animation
Toy Story 4,2001,"Directors:Pete Docter, David Silverman, Lee Unkrich",8.1,92,U,$289.92M,Animation
Wreck-It Ralph,1988,Hayao Miyazaki,8.1,86,U,$1.11M,Animation
Le Petit Prince,2020,"Directors:Tomm Moore, Ross Stewart",8,103,UA,$340.23M,Animation
Papurika,2020,"Directors:Pete Docter, Kemp Powers",8,100,U,$340.23M,Animation
Toki o kakeru shôjo,2016,"Directors:Byron Howard, Rich Moore, Jared Bush",8,108,U,$341.27M,Animation
Tangled,2013,Isao Takahata,8,137,U,$1.51M,Animation
Coraline,2014,Tomm Moore,8,93,PG,$0.86M,Animation
Les triplettes de Belleville,1997,Satoshi Kon,8,81,A,$0.78M,Animation
Waking Life,1992,"Directors:Ron Clements, John Musker",8,90,U,$217.35M,Animation
"South Park: Bigger, Longer & Uncut",1991,"Directors:Gary Trousdale, Kirk Wise",8,84,U,$218.97M,Animation
Kurenai no buta,1986,Hayao Miyazaki,8,125,U,$340.23M,Animation
Who Framed Roger Rabbit,1984,Hayao Miyazaki,8,117,U,$0.50M,Animation
La planète sauvage,2009,Wes Anderson,7.9,87,U,$21.00M,Animation
Fantasia,2001,"Directors:Andrew Adamson, Vicky Jenson",7.9,90,U,$267.67M,Animation
The Mitchells vs the Machines,1999,"Directors:John Lasseter, Ash Brannon, Lee Unkrich",7.9,92,U,$245.85M,Animation
Moana,1995,Yoshifumi Kondô,7.9,111,U,$340.23M,Animation
Karigurashi no Arietty,1993,Henry Selick,7.9,76,U,$75.08M,Animation
Despicable Me,2018,Wes Anderson,7.8,101,U,$32.02M,Animation
Gake no ue no Ponyo,2003,Satoshi Kon,7.8,90,UA,$0.13M,Animation
The Secret of Kells,2001,Satoshi Kon,7.8,87,PG,$0.19M,Animation
