Movie_Title,Year,Director,Rating,Runtime(Mins),Censor,Total_Gross,main_genre
Bloodshot,2020,Dave Wilson,5.7,109,UA,$12.56M,Action
Only God Forgives,2013,Nicolas Winding Refn,5.7,90,A,$0.78M,Action
G.I. Joe: Retaliation,2013,Jon M. Chu,5.7,110,UA,$122.52M,Action
The Three Musketeers,2011,Paul W.S. Anderson,5.7,110,UA,$20.38M,Action
Journey 2: The Mysterious Island,2012,Brad Peyton,5.7,94,U,$103.86M,Action
Bullet to the Head,2012,Walter Hill,5.7,92,A,$9.48M,Action
Battle: Los Angeles,2011,Jonathan Liebesman,5.7,116,UA,$83.55M,Action
The Matrix Resurrections,2021,Lana Wachowski,5.7,148,A,$340.23M,Action
Race to Witch Mountain,2009,Andy Fickman,5.7,98,U,$67.17M,Action
G.I. Joe: The Rise of Cobra,2009,Stephen Sommers,5.7,118,UA,$152.27M,Action
Gamer,2009,"Directors:Mark Neveldine, Brian Taylor",5.7,95,A,$20.49M,Action
Gemini Man,2019,Ang Lee,5.7,117,UA,$48.55M,Action
Army of the Dead,2021,Zack Snyder,5.7,148,18,$1.00M,Action
Armored,2009,Nimród Antal,5.7,88,PG-13,$15.99M,Action
Priest,2011,Scott Stewart,5.7,87,PG-13,$29.14M,Action
Drillbit Taylor,2008,Steven Brill,5.7,110,PG-13,$32.85M,Action
Fool's Gold,2008,Andy Tennant,5.7,112,PG-13,$70.23M,Action
Bandidas,2006,"Directors:Joachim Rønning, Espen Sandberg",5.7,93,PG-13,$340.23M,Action
Poseidon,2006,Wolfgang Petersen,5.7,98,UA,$60.67M,Action
Freddy vs. Jason,2003,Ronny Yu,5.7,97,A,$82.62M,Action
Red Planet,2000,Antony Hoffman,5.7,106,UA,$18.00M,Action
The Art of War,2000,Christian Duguay,5.7,117,R,$30.21M,Action
Lara Croft: Tomb Raider,2001,Simon West,5.7,100,U,$131.14M,Action
Lake Placid,1999,Steve Miner,5.7,82,A,$31.77M,Action
Planet of the Apes,2001,Tim Burton,5.7,119,UA,$180.01M,Action
Mighty Joe Young,1998,Ron Underwood,5.7,114,UA,$50.63M,Action
Fantastic Four,2005,Tim Story,5.7,106,UA,$154.70M,Action
Escape from L.A.,1996,John Carpenter,5.7,101,A,$25.48M,Action
Money Train,1995,Joseph Ruben,5.7,110,UA,$35.32M,Action
Cutthroat Island,1995,Renny Harlin,5.7,124,U,$10.02M,Action
Hudson Hawk,1991,Michael Lehmann,5.7,100,UA,$17.22M,Action
Crocodile Dundee II,1988,John Cornell,5.7,108,U,$109.31M,Action
Jay and Silent Bob Reboot,2019,Kevin Smith,5.6,105,R,$340.23M,Action
Brahmastra Part One: Shiva,2022,Ayan Mukerji,5.6,167,UA,$340.23M,Action
Hold the Dark,2018,Jeremy Saulnier,5.6,125,16,$340.23M,Action
The Meg,2018,Jon Turteltaub,5.6,113,UA,$143.01M,Action
The Ice Road,2021,Jonathan Hensleigh,5.6,109,All,$340.23M,Action
Survivor,2015,James McTeigue,5.6,96,UA,$340.23M,Action
Pacific Rim: Uprising,2018,Steven S. DeKnight,5.6,111,UA,$59.87M,Action
Men in Black: International,2019,F. Gary Gray,5.6,114,U,$80.00M,Action
Wild Card,2015,Simon West,5.6,92,R,$0.00M,Action
Pixels,2015,Chris Columbus,5.6,105,PG-13,$78.75M,Action
Transformers: Age of Extinction,2014,Michael Bay,5.6,165,UA,$245.44M,Action
Assassin's Creed,2016,Justin Kurzel,5.6,115,UA,$54.65M,Action
Sleepless,2017,Baran bo Odar,5.6,95,R,$20.78M,Action
Machete Kills,2013,Robert Rodriguez,5.6,107,R,$8.01M,Action
Fire with Fire,2012,David Barrett,5.6,97,UA,$340.23M,Action
The Dark Tower,2017,Nikolaj Arcel,5.6,95,UA,$50.70M,Action
MacGruber,2010,Jorma Taccone,5.6,90,R,$8.46M,Action
Brick Mansions,2014,Camille Delamarre,5.6,90,UA,$20.29M,Action
12 Rounds,2009,Renny Harlin,5.6,108,PG-13,$12.23M,Action
Toofaan,2021,Rakeysh Omprakash Mehra,5.6,163,UA,$340.23M,Action
Beckett,2021,Ferdinando Cito Filomarino,5.6,110,16,$340.23M,Action
Jolt,2021,Tanya Wexler,5.6,91,A,$340.23M,Action
You Don't Mess with the Zohan,2008,Dennis Dugan,5.6,113,PG-13,$100.02M,Action
The Pink Panther 2,2009,Harald Zwart,5.6,92,U,$35.92M,Action
R.I.P.D.,2013,Robert Schwentke,5.6,96,A,$33.62M,Action
4: Rise of the Silver Surfer,2007,Tim Story,5.6,92,U,$131.92M,Action
The Contract,2006,Bruce Beresford,5.6,96,R,$340.23M,Action
The Pacifier,2005,Adam Shankman,5.6,95,U,$113.09M,Action
AVP: Alien vs. Predator,2004,Paul W.S. Anderson,5.6,101,UA,$80.28M,Action
Alexander,2004,Oliver Stone,5.6,175,UA,$34.30M,Action
Timeline,2003,Richard Donner,5.6,116,PG-13,$19.48M,Action
Hulk,2003,Ang Lee,5.6,138,UA,$132.18M,Action
Bad Company,2002,Joel Schumacher,5.6,116,PG-13,$30.16M,Action
National Security,2003,Dennis Dugan,5.6,88,PG-13,$35.76M,Action
Exit Wounds,2001,Andrzej Bartkowiak,5.6,101,R,$51.76M,Action
Spy Kids,2001,Robert Rodriguez,5.6,88,U,$112.72M,Action
The Skulls,2000,Rob Cohen,5.6,106,PG-13,$35.05M,Action
Charlie's Angels,2000,McG,5.6,98,A,$125.31M,Action
Chain Reaction,1996,Andrew Davis,5.6,107,UA,$20.55M,Action
Johnny Mnemonic,1995,Robert Longo,5.6,103,UA,$19.08M,Action
The Specialist,1994,Luis Llosa,5.6,110,UA,$57.36M,Action
Buffy the Vampire Slayer,1992,Fran Rubel Kuzui,5.6,86,UA,$16.62M,Action
Double Impact,1991,Sheldon Lettich,5.6,110,R,$30.10M,Action
Busanhaeng 2: Bando,2020,Sang-ho Yeon,5.5,116,A,$1.23M,Action
The 355,2022,Simon Kinberg,5.5,122,UA,$340.23M,Action
Willy's Wonderland,2021,Kevin Lewis,5.5,88,A,$340.23M,Action
Mortdecai,2015,David Koepp,5.5,107,UA,$7.61M,Action
Resident Evil: The Final Chapter,2016,Paul W.S. Anderson,5.5,107,A,$26.83M,Action
The Cloverfield Paradox,2018,Julius Onah,5.5,102,PG-13,$340.23M,Action
Ek Tha Tiger,2012,Kabir Khan,5.5,132,UA,$2.35M,Action
Pompeii,2014,Paul W.S. Anderson,5.5,105,A,$23.22M,Action
Stolen,2012,Simon West,5.5,96,UA,$0.30M,Action
Baywatch,2017,Seth Gordon,5.5,116,A,$58.06M,Action
Cop Out,2010,Kevin Smith,5.5,107,A,$44.88M,Action
Green Lantern,2011,Martin Campbell,5.5,114,UA,$116.60M,Action
Seventh Son,2014,Sergei Bodrov,5.5,102,16,$17.22M,Action
Fighting,2009,Dito Montiel,5.5,105,PG-13,$23.04M,Action
Sweet Girl,2021,Brian Andrew Mendoza,5.5,110,16,$340.23M,Action
The Bounty Hunter,2010,Andy Tennant,5.5,110,A,$67.06M,Action
Gunjan Saxena: The Kargil Girl,2020,"Directors:ALi Khan AK, Sharan Sharma",5.5,112,13,$340.23M,Action
Taxi 4,2007,Gérard Krawczyk,5.5,91,B,$340.23M,Action
Snakes on a Plane,2006,David R. Ellis,5.5,105,A,$34.02M,Action
The Man,2005,Les Mayfield,5.5,83,PG-13,$8.33M,Action
Whiteout,2009,Dominic Sena,5.5,101,R,$10.28M,Action
Babylon A.D.,2008,Mathieu Kassovitz,5.5,90,UA,$22.53M,Action
Lara Croft Tomb Raider: The Cradle of Life,2003,Jan de Bont,5.5,117,UA,$65.66M,Action
The Core,2003,Jon Amiel,5.5,135,UA,$31.19M,Action
Showtime,2002,Tom Dey,5.5,95,UA,$38.08M,Action
The Scorpion King,2002,Chuck Russell,5.5,92,A,$91.05M,Action
Eight Legged Freaks,2002,Ellory Elkayem,5.5,99,UA,$17.32M,Action
Collateral Damage,2002,Andrew Davis,5.5,108,A,$40.08M,Action
Volcano,1997,Mick Jackson,5.5,104,UA,$49.32M,Action
Metro,1997,Thomas Carter,5.5,117,R,$31.99M,Action
George of the Jungle,1997,Sam Weisman,5.5,92,PG,$105.26M,Action
Beverly Hills Ninja,1997,Dennis Dugan,5.5,88,UA,$31.24M,Action
The Quest,1996,Jean-Claude Van Damme,5.5,95,PG-13,$21.60M,Action
Virtuosity,1995,Brett Leonard,5.5,106,UA,$24.05M,Action
Under Siege 2: Dark Territory,1995,Geoff Murphy,5.5,100,A,$50.02M,Action
Judge Dredd,1995,Danny Cannon,5.5,96,R,$34.69M,Action
Beverly Hills Cop III,1994,John Landis,5.5,104,A,$42.61M,Action
Star Trek V: The Final Frontier,1989,William Shatner,5.5,107,U,$52.21M,Action
Raw Deal,1986,John Irvin,5.5,106,A,$16.21M,Action
Spiderhead,2022,Joseph Kosinski,5.4,106,A,$340.23M,Action
Ava,2020,Tate Taylor,5.4,96,16,$0.50M,Action
Snake Eyes: G.I. Joe Origins,2021,Robert Schwentke,5.4,121,PG-13,$340.23M,Action
Wonder Woman 1984,2020,Patty Jenkins,5.4,151,UA,$46.37M,Action
Infinite,2021,Antoine Fuqua,5.4,106,PG-13,$340.23M,Action
"Game Over, Man!",2018,Kyle Newacheck,5.4,101,B,$340.23M,Action
Blackhat,2015,Michael Mann,5.4,133,UA,$7.10M,Action
Gods of Egypt,2016,Alex Proyas,5.4,127,UA,$31.15M,Action
The Mummy,2017,Alex Kurtzman,5.4,110,A,$80.10M,Action
Big Game,2014,Jalmari Helander,5.4,90,U,$0.02M,Action
Vampire Academy,2014,Mark Waters,5.4,104,A,$7.79M,Action
Drive Angry,2011,Patrick Lussier,5.4,104,A,$10.71M,Action
Killing Season,2013,Mark Steven Johnson,5.4,91,R,$0.03M,Action
The Happytime Murders,2018,Brian Henson,5.4,91,A,$20.71M,Action
The Spy Next Door,2010,Brian Levant,5.4,94,U,$24.27M,Action
The Man with the Iron Fists,2012,RZA,5.4,95,R,$15.63M,Action
Killers,2010,Robert Luketic,5.4,100,PG-13,$47.06M,Action
Outside the Wire,2021,Mikael Håfström,5.4,114,18,$340.23M,Action
The Forever Purge,2021,Everardo Gout,5.4,103,A,$44.54M,Action
Season of the Witch,2011,Dominic Sena,5.4,95,A,$24.83M,Action
The Last Legion,2007,Doug Lefler,5.4,101,PG-13,$5.93M,Action
Pathfinder,2007,Marcus Nispel,5.4,99,R,$10.23M,Action
_on Flux,2005,Karyn Kusama,5.4,93,UA,$25.86M,Action
I Spy,2002,Betty Thomas,5.4,97,A,$33.56M,Action
The Tuxedo,2002,Kevin Donovan,5.4,98,U,$50.55M,Action
Bulletproof Monk,2003,Paul Hunter,5.4,104,UA,$23.02M,Action
Godzilla,1998,Roland Emmerich,5.4,139,UA,$136.31M,Action
D3: The Mighty Ducks,1996,Robert Lieberman,5.4,104,PG,$22.94M,Action
Batman Forever,1995,Joel Schumacher,5.4,121,UA,$184.03M,Action
Maximum Overdrive,1986,Stephen King,5.4,98,A,$7.43M,Action
Battle for the Planet of the Apes,1973,J. Lee Thompson,5.4,93,U,$8.84M,Action
The New Mutants,2020,Josh Boone,5.3,94,A,$340.23M,Action
Robin Hood,2018,Otto Bathurst,5.3,116,UA,$30.82M,Action
The Predator,2018,Shane Black,5.3,107,A,$51.02M,Action
Kick,2014,Sajid Nadiadwala,5.3,146,UA,$2.46M,Action
Point Break,2015,Ericson Core,5.3,114,UA,$28.78M,Action
Geostorm,2017,Dean Devlin,5.3,109,UA,$33.70M,Action
Resident Evil: Retribution,2012,Paul W.S. Anderson,5.3,95,A,$42.35M,Action
Dhoom:3,2013,Vijay Krishna Acharya,5.3,172,UA,$8.03M,Action
Jupiter Ascending,2015,"Directors:Lana Wachowski, Lilly Wachowski",5.3,127,A,$47.39M,Action
One for the Money,2012,Julie Anne Robinson,5.3,91,PG-13,$26.41M,Action
Red Dawn,2012,Dan Bradley,5.3,93,A,$44.81M,Action
The Colony,2013,Jeff Renfroe,5.3,95,B,$340.23M,Action
Bangkok Dangerous,2008,"Directors:Danny Pang, Oxide Chun Pang",5.3,99,U,$15.28M,Action
Max Payne,2008,John Moore,5.3,100,A,$40.69M,Action
Land of the Lost,2009,Brad Silberling,5.3,102,UA,$49.44M,Action
Hollywood Homicide,2003,Ron Shelton,5.3,116,U,$30.01M,Action
Daredevil,2003,Mark Steven Johnson,5.3,103,UA,$102.54M,Action
Spy Hard,1996,Rick Friedberg,5.3,81,UA,$29.00M,Action
Tank Girl,1995,Rachel Talalay,5.3,104,R,$4.06M,Action
The Karate Kid Part III,1989,John G. Avildsen,5.3,112,U,$38.96M,Action
Masters of the Universe,1987,Gary Goddard,5.3,106,U,$17.34M,Action
Resident Evil: Welcome to Raccoon City,2021,Johannes Roberts,5.2,107,A,$340.23M,Action
Monster Hunter,2020,Paul W.S. Anderson,5.2,103,UA,$15.16M,Action
The First Purge,2018,Gerard McMurray,5.2,97,B,$69.49M,Action
F9,2021,Justin Lin,5.2,143,UA,$173.20M,Action
Morbius,2022,Daniel Espinosa,5.2,104,UA,$340.23M,Action
The Bad Batch,2016,Ana Lily Amirpour,5.2,118,R,$0.18M,Action
Transformers: The Last Knight,2017,Michael Bay,5.2,154,UA,$130.17M,Action
The Transporter Refueled,2015,Camille Delamarre,5.2,96,UA,$16.03M,Action
The 5th Wave,2016,J Blakeson,5.2,112,UA,$34.92M,Action
Hellboy,2019,Neil Marshall,5.2,120,R,$21.90M,Action
Independence Day: Resurgence,2016,Roland Emmerich,5.2,120,UA,$103.14M,Action
A Good Day to Die Hard,2013,John Moore,5.2,98,UA,$67.35M,Action
Schindler's List,1993,Steven Spielberg,9,195,A,$96.90M,Biography
Rocketry: The Nambi Effect,2022,Madhavan,8.9,157,UA,$340.23M,Biography
Goodfellas,1990,Martin Scorsese,8.7,145,A,$46.84M,Biography
The Intouchables,2011,"Directors:Olivier Nakache, _ric Toledano",8.5,112,UA,$13.18M,Biography
The Pianist,2002,Roman Polanski,8.5,150,13,$32.57M,Biography
Hamilton,2020,Thomas Kail,8.4,160,12+,$340.23M,Biography
Sardar Udham,2021,Shoojit Sircar,8.4,164,UA 13+,$340.23M,Biography
Braveheart,1995,Mel Gibson,8.4,178,A,$75.60M,Biography
Amadeus,1984,Milos Forman,8.4,160,R,$51.97M,Biography
Ayla: The Daughter of War,2017,Can Ulkay,8.3,125,B,$340.23M,Biography
Lawrence of Arabia,1962,David Lean,8.3,218,U,$44.82M,Adventure
Green Book,2018,Peter Farrelly,8.2,130,UA,$85.08M,Biography
Bhaag Milkha Bhaag,2013,Rakeysh Omprakash Mehra,8.2,186,U,$1.63M,Biography
The Wolf of Wall Street,2013,Martin Scorsese,8.2,180,A,$116.90M,Biography
Der Untergang,2004,Oliver Hirschbiegel,8.2,156,UA,$5.51M,Biography
A Beautiful Mind,2001,Ron Howard,8.2,135,UA,$170.74M,Biography
Raging Bull,1980,Martin Scorsese,8.2,129,A,$23.38M,Biography
The Elephant Man,1980,David Lynch,8.2,124,UA,$340.23M,Biography
Dersu Uzala,1975,Akira Kurosawa,8.2,142,U,$340.23M,Adventure
La passion de Jeanne d'Arc,1928,Carl Theodor Dreyer,8.2,110,B,$0.02M,Biography
Hacksaw Ridge,2016,Mel Gibson,8.1,139,A,$67.21M,Biography
12 Years a Slave,2013,Steve McQueen,8.1,134,A,$56.67M,Biography
Rush,2013,Ron Howard,8.1,123,R,$26.95M,Action
Spotlight,2015,Tom McCarthy,8.1,129,A,$45.06M,Biography
Hachi: A Dog's Tale,2009,Lasse Hallström,8.1,93,U,$340.23M,Biography
Into the Wild,2007,Sean Penn,8.1,148,U,$18.35M,Adventure
Hotel Rwanda,2004,Terry George,8.1,121,UA,$23.53M,Biography
Catch Me If You Can,2002,Steven Spielberg,8.1,141,A,$164.62M,Biography
In the Name of the Father,1993,Jim Sheridan,8.1,133,UA,$25.01M,Biography
Gandhi,1982,Richard Attenborough,8.1,191,U,$52.77M,Biography
The Message,1976,Moustapha Akkad,8.1,177,B,$340.23M,Biography
Andrei Rublev,1966,Andrei Tarkovsky,8.1,205,B,$0.10M,Biography
The Sound of Music,1965,Robert Wise,8.1,172,U,$163.21M,Biography
Inherit the Wind,1960,Stanley Kramer,8.1,128,B,$340.23M,Biography
Lion,2016,Garth Davis,8,118,U,$51.74M,Biography
The Imitation Game,2014,Morten Tyldum,8,114,UA,$91.13M,Biography
The King's Speech,2010,Tom Hooper,8,118,U,$138.80M,Biography
Persepolis,2007,"Directors:Vincent Paronnaud, Marjane Satrapi",8,96,PG-13,$4.45M,Animation
The Pursuit of Happyness,2006,Gabriele Muccino,8,117,U,$163.57M,Biography
Le scaphandre et le papillon,2007,Julian Schnabel,8,112,PG-13,$5.99M,Biography
Mar adentro,2004,Alejandro Amenábar,8,126,U,$2.09M,Biography
Cinderella Man,2005,Ron Howard,8,144,UA,$61.65M,Biography
The Straight Story,1999,David Lynch,8,112,U,$6.20M,Biography
Dog Day Afternoon,1975,Sidney Lumet,8,125,U,$50.00M,Biography
Zerkalo,1975,Andrei Tarkovsky,8,107,B,$0.18M,Biography
Papillon,1973,Franklin J. Schaffner,8,151,R,$53.27M,Biography
Butch Cassidy and the Sundance Kid,1969,George Roy Hill,8,110,U,$102.31M,Biography
Super 30,2019,Vikas Bahl,7.9,154,U,$2.27M,Biography
Padman,2018,R. Balki,7.9,140,UA,$1.66M,Biography
Togo,2019,Ericson Core,7.9,113,U,$340.23M,Adventure
M.S. Dhoni: The Untold Story,2016,Neeraj Pandey,7.9,184,U,$1.78M,Biography
Bohemian Rhapsody,2018,Bryan Singer,7.9,134,UA,$216.43M,Biography
Dallas Buyers Club,2013,Jean-Marc Vallée,7.9,117,R,$27.30M,Biography
My Left Foot: The Story of Christy Brown,1989,Jim Sheridan,7.9,103,U,$14.74M,Biography
Patton,1970,Franklin J. Schaffner,7.9,172,U,$61.70M,Biography
The Lion in Winter,1968,Anthony Harvey,7.9,134,U,$22.28M,Biography
In Cold Blood,1967,Richard Brooks,7.9,134,B,$340.23M,Biography
Spartacus,1960,Stanley Kubrick,7.9,197,A,$30.00M,Adventure
Hidden Figures,2016,Theodore Melfi,7.8,127,UA,$169.61M,Biography
Loving Vincent,2017,"Directors:Dorota Kobiela, Hugh Welchman",7.8,94,UA,$6.74M,Animation
Pride,2014,Matthew Warchus,7.8,119,R,$340.23M,Biography
The Big Short,2015,Adam McKay,7.8,130,A,$70.26M,Biography
Straight Outta Compton,2015,F. Gary Gray,7.8,147,R,$161.20M,Biography
The Irishman,2019,Martin Scorsese,7.8,209,16,$7.00M,Biography
The Social Network,2010,David Fincher,7.8,120,UA,$96.96M,Biography
Changeling,2008,Clint Eastwood,7.8,141,A,$35.74M,Biography
American Gangster,2007,Ridley Scott,7.8,157,A,$130.16M,Biography
The World's Fastest Indian,2005,Roger Donaldson,7.8,127,U,$5.13M,Biography
Walk the Line,2005,James Mangold,7.8,136,U,$119.52M,Biography
Diarios de motocicleta,2004,Walter Salles,7.8,126,U,$16.76M,Adventure
Remember the Titans,2000,Boaz Yakin,7.8,113,U,$115.65M,Biography
The Insider,1999,Michael Mann,7.8,157,UA,$28.97M,Biography
October Sky,1999,Joe Johnston,7.8,108,PG,$32.48M,Biography
Ed Wood,1994,Tim Burton,7.8,127,U,$5.89M,Biography
Tombstone,1993,"Directors:George P. Cosmatos, Kevin Jarre",7.8,130,UA,$56.51M,Biography
Awakenings,1990,Penny Marshall,7.8,121,U,$52.10M,Biography
Glory,1989,Edward Zwick,7.8,122,U,$26.83M,Biography
The Killing Fields,1984,Roland Joffé,7.8,141,A,$34.70M,Biography
The Right Stuff,1983,Philip Kaufman,7.8,193,UA,$21.50M,Adventure
The Theory of Everything,2014,James Marsh,7.7,123,U,$35.89M,Biography
Kaze tachinu,2013,Hayao Miyazaki,7.7,126,B,$5.21M,Animation
Argo,2012,Ben Affleck,7.7,120,A,$136.03M,Biography
Frost/Nixon,2008,Ron Howard,7.7,122,U,$18.59M,Biography
Ray,2004,Taylor Hackford,7.7,152,A,$75.33M,Biography
Finding Neverland,2004,Marc Forster,7.7,106,U,$51.68M,Biography
Donnie Brasco,1997,Mike Newell,7.7,127,A,$41.91M,Biography
Shine,1996,Scott Hicks,7.7,105,B,$35.81M,Biography
Il postino,1994,"Directors:Michael Radford, Massimo Troisi",7.7,108,B,$21.85M,Biography
Malcolm X,1992,Spike Lee,7.7,202,U,$48.17M,Biography
The Last Emperor,1987,Bernardo Bertolucci,7.7,163,U,$43.98M,Biography
Serpico,1973,Sidney Lumet,7.7,130,A,$29.80M,Biography
A Man for All Seasons,1966,Fred Zinnemann,7.7,120,U,$28.35M,Biography
Dark Waters,2019,Todd Haynes,7.6,126,PG-13,$340.23M,Biography
The Two Popes,2019,Fernando Meirelles,7.6,125,16,$340.23M,Biography
The Boy Who Harnessed the Wind,2019,Chiwetel Ejiofor,7.6,113,13,$340.23M,Biography
Sanju,2018,Rajkumar Hirani,7.6,155,UA,$7.91M,Biography
Just Mercy,2019,Destin Daniel Cretton,7.6,137,A,$340.23M,Biography
Philomena,2013,Stephen Frears,7.6,98,PG-13,$37.71M,Biography
127 Hours,2010,Danny Boyle,7.6,94,UA,$18.34M,Biography
Moneyball,2011,Bennett Miller,7.6,133,13,$75.61M,Biography
The Blind Side,2009,John Lee Hancock,7.6,129,UA,$255.96M,Biography
Freedom Writers,2007,Richard LaGravenese,7.6,123,UA,$36.61M,Biography
The Last King of Scotland,2006,Kevin Macdonald,7.6,123,A,$17.61M,Biography
La Vie en Rose,2007,Olivier Dahan,7.6,140,PG-13,$10.30M,Biography
Sophie Scholl - Die letzten Tage,2005,Marc Rothemund,7.6,120,B,$0.68M,Biography
Control,2007,Anton Corbijn,7.6,122,R,$0.87M,Biography
The Hurricane,1999,Norman Jewison,7.6,146,U,$50.67M,Biography
King Richard,2021,Reinaldo Marcus Green,7.5,144,UA,$340.23M,Biography
"tick, tick...BOOM!",2021,Lin-Manuel Miranda,7.5,120,13,$340.23M,Biography
83,2021,Kabir Khan,7.5,162,U,$340.23M,Biography
BlacKkKlansman,2018,Spike Lee,7.5,135,18,$49.28M,Biography
"I, Tonya",2017,Craig Gillespie,7.5,119,R,$30.01M,Biography
The Favourite,2018,Yorgos Lanthimos,7.5,119,18,$34.37M,Biography
Richard Jewell,2019,Clint Eastwood,7.5,131,A,$340.23M,Biography
Fruitvale Station,2013,Ryan Coogler,7.5,85,R,$16.10M,Biography
Saving Mr. Banks,2013,John Lee Hancock,7.5,125,U,$83.30M,Biography
The Greatest Showman,2017,Michael Gracey,7.5,105,UA,$174.34M,Biography
En kongelig affære,2012,Nikolaj Arcel,7.5,137,R,$1.55M,Biography
The Damned United,2009,Tom Hooper,7.5,98,R,$0.45M,Biography
Selma,2014,Ava DuVernay,7.5,128,PG-13,$52.08M,Biography
Milk,2008,Gus Van Sant,7.5,128,A,$31.84M,Biography
Hunger,2008,Steve McQueen,7.5,96,B,$0.15M,Biography
42,2013,Brian Helgeland,7.5,128,PG-13,$95.00M,Biography
The Assassination of Jesse James by the Coward Robert Ford,2007,Andrew Dominik,7.5,160,R,$3.90M,Biography
The Great Debaters,2007,Denzel Washington,7.5,126,PG-13,$30.23M,Biography
The Aviator,2004,Martin Scorsese,7.5,170,UA,$102.61M,Biography
Blow,2001,Ted Demme,7.5,124,R,$52.99M,Biography
Boys Don't Cry,1999,Kimberly Peirce,7.5,118,A,$11.53M,Biography
Quiz Show,1994,Robert Redford,7.5,133,U,$24.82M,Biography
Rudy,1993,David Anspaugh,7.5,114,U,$22.75M,Biography
Chaplin,1992,Richard Attenborough,7.5,143,PG-13,$9.49M,Biography
Henry V,1989,Kenneth Branagh,7.5,137,U,$10.16M,Biography
Christiane F. - Wir Kinder vom Bahnhof Zoo,1981,Uli Edel,7.5,138,B,$340.23M,Biography
Midnight Express,1978,Alan Parker,7.5,121,A,$35.00M,Biography
Judas and the Black Messiah,2021,Shaka King,7.4,126,A,$340.23M,Biography
The Mauritanian,2021,Kevin Macdonald,7.4,129,A,$340.23M,Biography
Darkest Hour,2017,Joe Wright,7.4,125,UA,$56.47M,Biography
Molly's Game,2017,Aaron Sorkin,7.4,140,R,$28.78M,Biography
Elvis,2022,Baz Luhrmann,7.4,159,UA,$340.23M,Biography
Sully,2016,Clint Eastwood,7.4,96,A,$125.07M,Biography
Trumbo,2015,Jay Roach,7.4,124,R,$7.86M,Biography
The Good Lie,2014,Philippe Falardeau,7.4,110,PG-13,$2.72M,Biography
"McFarland, USA",2015,Niki Caro,7.4,129,PG,$44.47M,Biography
Love & Mercy,2014,Bill Pohlad,7.4,121,PG-13,$12.55M,Biography
"Good Night, and Good Luck.",2005,George Clooney,7.4,93,PG,$31.50M,Biography
The Greatest Game Ever Played,2005,Bill Paxton,7.4,120,U,$15.33M,Biography
Miracle,2004,Gavin O'Connor,7.4,135,U,$64.38M,Biography
American Splendor,2003,"Directors:Shari Springer Berman, Robert Pulcini",7.4,101,R,$6.00M,Biography
Rabbit-Proof Fence,2002,Phillip Noyce,7.4,94,PG,$6.17M,Biography
Erin Brockovich,2000,Steven Soderbergh,7.4,131,A,$125.60M,Biography
Elizabeth,1998,Shekhar Kapur,7.4,124,R,$30.08M,Biography
Man on the Moon,1999,Milos Forman,7.4,118,R,$34.58M,Biography
Gods and Monsters,1998,Bill Condon,7.4,105,R,$6.39M,Biography
Searching for Bobby Fischer,1993,Steven Zaillian,7.4,109,13,$7.27M,Biography
The King and I,1956,Walter Lang,7.4,133,U,$21.30M,Biography
The King,2019,David Michôd,7.3,140,18,$340.23M,Biography
The Banker,2020,George Nolfi,7.3,120,A,$340.23M,Biography
Official Secrets,2019,Gavin Hood,7.3,112,A,$0.40M,Biography
Snowden,2016,Oliver Stone,7.3,134,18,$21.59M,Biography
A Street Cat Named Bob,2016,Roger Spottiswoode,7.3,103,B,$0.04M,Biography
The Disaster Artist,2017,James Franco,7.3,104,UA,$21.12M,Biography
The Walk,2015,Robert Zemeckis,7.3,123,UA,$10.14M,Adventure
Woman in Gold,2015,Simon Curtis,7.3,109,B,$33.31M,Biography
Belle,2013,Amma Asante,7.3,100,PG,$10.73M,Biography
Rocketman,2019,Dexter Fletcher,7.3,121,A,$96.37M,Biography
Belfast,2021,Kenneth Branagh,7.3,98,PG-13,$340.23M,Biography
Beautiful Boy,2018,Felix van Groeningen,7.3,120,R,$7.65M,Biography
First Man,2018,Damien Chazelle,7.3,141,UA,$44.94M,Biography
Eddie the Eagle,2015,Dexter Fletcher,7.3,106,UA,$15.79M,Adventure
Rescue Dawn,2006,Werner Herzog,7.3,120,PG-13,$5.49M,Adventure
Lincoln,2012,Steven Spielberg,7.3,150,U,$182.21M,Biography
The Queen,2006,Stephen Frears,7.3,103,U,$56.44M,Biography
Coach Carter,2005,Thomas Carter,7.3,136,PG-13,$67.26M,Biography
Capote,2005,Bennett Miller,7.3,114,UA,$28.75M,Biography
Monster,2003,Patty Jenkins,7.3,109,A,$34.47M,Biography
24 Hour Party People,2002,Michael Winterbottom,7.3,117,R,$1.13M,Biography
Quills,2000,Philip Kaufman,7.3,124,B,$7.06M,Biography
"Girl, Interrupted",1999,James Mangold,7.3,127,UA,$28.87M,Biography
Antwone Fisher,2002,Denzel Washington,7.3,120,PG-13,$21.08M,Biography
Frida,2002,Julie Taymor,7.3,123,UA,$25.89M,Biography
Amistad,1997,Steven Spielberg,7.3,155,A,$44.18M,Biography
The People vs. Larry Flynt,1996,Milos Forman,7.3,130,A,$20.19M,Biography
The Basketball Diaries,1995,Scott Kalvert,7.3,102,UA,$2.42M,Biography
Heavenly Creatures,1994,Peter Jackson,7.3,99,UA,$3.05M,Biography
This Boy's Life,1993,Michael Caton-Jones,7.3,115,U,$4.10M,Biography
